date,technical_signal_score,technical_bullish_mentions,technical_bearish_mentions,analyst_rating_score,analyst_rating_present,macro_signal_score,macro_mentions,risk_score,high_risk_mentions,leadership_signal_score,earnings_signal_score,earnings_event_present
2026-01-16,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-18,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-19,-0.2222222222222222,0,2,0.0,True,0.0,2,0.011111111111111112,0,0.0,0.0,False
2026-01-20,-0.3333333333333333,0,1,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-21,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-22,-0.5,0,2,0.0,False,0.25,2,0.0,0,0.0,-0.25,True
2026-01-23,0.125,1,0,0.0,True,0.0,0,0.0125,0,0.0,0.0,False
2026-01-24,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-25,-0.5,0,1,0.0,False,0.0,0,0.05,0,0.0,0.0,False
2026-01-26,0.0,0,0,0.0,False,0.0625,1,0.0,0,0.0,0.0,False
2026-01-27,0.06896551724137931,3,1,0.10344827586206896,True,0.0,0,0.02413793103448276,0,0.0,0.034482758620689655,True
2026-01-28,0.5555555555555556,8,0,0.1111111111111111,True,0.0,0,0.0,0,0.0,0.0,False
2026-01-29,0.0,0,0,0.0,True,0.0,0,0.0,0,0.0,0.0,False
2026-01-30,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-31,0.0,0,0,0.0,True,0.0,0,0.0,0,0.0,0.0,False
2026-02-02,0.0,0,0,1.0,True,0.0,0,0.0,0,0.0,0.0,False
2026-02-03,1.0,2,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-04,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-05,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-06,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-09,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-10,0.0,0,0,0.25,True,0.0,0,0.0,0,0.0,0.0,False
2026-02-11,0.0,0,0,0.5,True,0.0,0,0.0,0,0.0,0.0,False
2026-02-12,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-02-13,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
