date,technical_signal_score,technical_bullish_mentions,technical_bearish_mentions,analyst_rating_score,analyst_rating_present,macro_signal_score,macro_mentions,risk_score,high_risk_mentions,leadership_signal_score,earnings_signal_score,earnings_event_present
2026-01-02,0.16666666666666666,2,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-03,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-04,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-05,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-06,0.18181818181818182,2,0,0.09090909090909091,True,0.0,0,0.0,0,0.0,0.0,False
2026-01-09,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-11,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-12,0.0,1,1,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-14,0.0,0,0,0.0,False,0.0,0,0.1,0,0.0,0.0,False
2026-01-15,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-16,-0.09090909090909091,0,1,0.0,True,0.0,0,0.018181818181818184,0,0.0,0.0,False
2026-01-17,-0.15625,1,7,0.0,False,0.0,0,0.0,0,0.0,-0.03125,True
2026-01-18,-0.6666666666666666,0,5,0.16666666666666666,True,0.0,0,0.0,0,0.0,-0.3333333333333333,True
2026-01-19,-0.3333333333333333,0,12,-0.037037037037037035,True,0.0,0,0.007407407407407408,0,0.0,0.0,False
2026-01-20,0.0,0,0,0.0,True,0.0,0,0.0,0,0.5,0.0,False
2026-01-21,-0.3333333333333333,1,2,0.3333333333333333,True,0.0,0,0.0,0,0.0,0.0,False
2026-01-22,0.0,0,0,0.5,True,0.0,0,0.0,0,0.0,0.0,False
2026-01-23,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-26,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-27,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-28,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-29,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
2026-01-30,0.0,0,0,0.2,True,0.0,0,0.0,0,0.0,0.0,False
2026-01-31,0.0,0,0,0.0,False,0.0,0,0.0,0,0.0,0.0,False
