date,sentiment_score,news_volume,sentiment_polarity,earnings_event
2026-01-05 08:00:00,0.19998722076416015,5,0.2,0
2026-01-06 08:00:00,0.0,5,0.0,0
2026-01-06 11:06:03,0.0,1,0.0,0
2026-01-07 08:00:00,0.0,2,0.0,0
2026-01-08 08:00:00,0.05930894613265991,6,0.0,0
2026-01-09 08:00:00,0.0,3,0.0,0
2026-01-11 08:00:00,0.0,1,0.0,0
2026-01-12 08:00:00,0.0,1,0.0,1
2026-01-14 08:00:00,0.333141287167867,3,0.3333333333333333,0
2026-01-14 10:09:20,0.0,1,0.0,0
2026-01-14 11:03:29,0.0,1,0.0,0
2026-01-15 05:59:00,0.0,1,0.0,1
2026-01-15 08:00:00,0.0,2,0.0,0
2026-01-16 08:00:00,0.6344670057296753,4,0.75,1
2026-01-18 08:00:00,0.0,2,0.0,1
2026-01-19 08:00:00,0.15411396821339926,36,0.16666666666666666,1
2026-01-19 08:52:47,0.0,1,0.0,1
2026-01-19 09:39:25,0.0,1,0.0,1
2026-01-19 15:21:29,0.0,1,0.0,0
2026-01-20 01:48:12,1.0,1,1.0,1
2026-01-20 05:56:17,0.0,1,0.0,0
2026-01-20 07:22:20,0.6696172952651978,1,1.0,1
2026-01-20 08:00:00,0.33990589930461,13,0.38461538461538464,1
2026-01-21 08:00:00,0.3999739170074463,5,0.4,1
2026-01-21 11:41:55,0.0,1,0.0,0
2026-01-21 15:27:01,1.0,1,1.0,1
2026-01-22 02:36:00,0.0,1,0.0,0
2026-01-22 03:55:02,0.0,1,0.0,1
2026-01-22 04:20:27,0.0,1,0.0,1
2026-01-22 08:00:00,-0.1997860074043274,5,-0.2,1
2026-01-22 09:41:23,0.0,1,0.0,0
2026-01-23 08:00:00,0.18498765230178832,5,0.2,1
2026-01-25 03:01:25,0.0,1,0.0,1
2026-01-26 11:26:45,0.0,1,0.0,0
2026-01-26 12:44:32,0.0,1,0.0,0
2026-01-26 18:38:39,0.0,1,0.0,0
2026-01-27 01:50:34,0.0,1,0.0,0
2026-01-27 02:44:27,0.0,1,0.0,0
2026-01-27 02:56:37,0.0,1,0.0,0
2026-01-27 04:02:04,0.0,1,0.0,0
2026-01-27 05:56:51,0.0,1,0.0,0
2026-01-27 08:00:00,0.0,1,0.0,0
2026-01-27 10:52:30,0.0,1,0.0,1
2026-01-27 11:06:00,0.0,1,0.0,1
2026-01-27 13:15:00,0.0,1,0.0,1
2026-01-27 17:33:28,0.0,1,0.0,0
2026-01-28 02:50:26,0.0,1,0.0,0
2026-01-28 05:03:00,0.9941908717155457,1,1.0,0
2026-01-28 08:35:11,0.0,1,0.0,0
2026-01-28 13:44:00,0.0,1,0.0,0
2026-01-28 19:32:04,0.0,1,0.0,0
2026-01-29 06:27:34,0.0,1,0.0,0
2026-01-30 05:26:03,0.0,1,0.0,0
2026-01-30 13:50:00,0.0,1,0.0,0
2026-01-30 14:12:08,0.0,1,0.0,0
2026-01-30 23:43:00,0.0,1,0.0,0
2026-01-31 07:43:00,0.0,1,0.0,0
2026-01-31 09:43:07,0.0,1,0.0,0
2026-01-31 10:43:00,0.0,1,0.0,0
2026-01-31 13:36:00,0.0,1,0.0,0
2026-01-31 14:33:34,0.0,1,0.0,0
2026-01-31 14:34:19,0.0,1,0.0,0
2026-01-31 18:17:29,0.0,1,0.0,0
2026-02-01 02:21:54,0.0,1,0.0,1
2026-02-01 06:39:27,0.0,1,0.0,0
2026-02-01 08:00:00,0.0,1,0.0,0
2026-02-02 10:41:15,0.0,1,0.0,0
2026-02-02 13:18:45,0.0,1,0.0,0
2026-02-02 13:53:19,0.0,1,0.0,0
2026-02-02 16:45:00,0.0,1,0.0,0
2026-02-03 06:23:00,0.0,1,0.0,0
2026-02-03 13:54:31,0.0,1,0.0,0
