date,sentiment_score,news_volume,sentiment_polarity,earnings_event
2026-01-10 08:00:00,0.0,2,0.0,0
2026-01-11 08:00:00,0.0,3,0.0,0
2026-01-12 07:16:35,0.0,1,0.0,0
2026-01-12 08:00:00,0.16666340827941895,6,0.16666666666666666,0
2026-01-13 08:00:00,0.0,4,0.0,0
2026-01-14 08:00:00,0.0,5,0.0,0
2026-01-15 08:00:00,0.0,1,0.0,0
2026-01-16 08:00:00,0.0,2,0.0,0
2026-01-17 08:00:00,0.0,3,0.0,0
2026-01-18 08:00:00,0.0,1,0.0,0
2026-01-19 08:00:00,0.49989768862724304,2,0.5,1
2026-01-20 05:22:45,0.0,1,0.0,0
2026-01-20 06:22:56,0.0,1,0.0,0
2026-01-20 08:00:00,0.16341477632522583,6,0.16666666666666666,1
2026-01-21 08:00:00,0.0,2,0.0,1
2026-01-22 08:00:00,0.0,2,0.0,0
2026-01-22 08:37:58,0.0,1,0.0,0
2026-01-22 13:24:27,0.0,1,0.0,0
2026-01-22 13:32:14,0.0,1,0.0,0
2026-01-23 08:00:00,0.0,3,0.0,1
2026-01-25 08:00:00,0.0,1,0.0,0
2026-01-27 08:00:00,0.0,4,0.0,0
2026-01-28 08:00:00,0.0,4,0.0,0
2026-01-29 04:48:10,0.0,1,0.0,0
2026-01-29 08:00:00,0.09090900421142578,11,0.09090909090909091,0
2026-01-29 18:55:04,0.0,1,0.0,0
2026-01-30 03:57:47,0.0,1,0.0,0
2026-01-30 07:21:19,0.0,1,0.0,0
2026-01-30 08:00:00,0.0,1,0.0,0
2026-01-31 07:03:00,0.0,1,0.0,1
2026-01-31 08:56:08,0.0,1,0.0,0
2026-01-31 10:00:03,0.9156983494758606,1,1.0,0
2026-01-31 12:59:17,0.0,1,0.0,0
2026-01-31 14:14:00,0.0,1,0.0,0
2026-01-31 19:04:00,0.0,1,0.0,0
2026-01-31 19:53:29,0.0,1,0.0,0
2026-02-01 05:51:05,0.0,1,0.0,0
2026-02-01 06:43:07,0.0,1,0.0,0
2026-02-01 07:09:43,0.0,1,0.0,0
2026-02-01 08:00:00,0.0,1,0.0,0
2026-02-02 00:20:00,0.0,1,0.0,0
2026-02-02 03:52:00,0.0,1,0.0,0
2026-02-02 05:02:00,-0.5169374346733093,1,-1.0,1
2026-02-02 13:11:05,0.0,1,0.0,0
2026-02-03 04:48:43,0.0,1,0.0,0
2026-02-03 04:59:39,0.9999228715896606,1,1.0,0
2026-02-03 05:54:15,0.0,1,0.0,0
2026-02-03 06:27:51,0.0,1,0.0,0
2026-02-03 09:09:57,0.0,1,0.0,0
2026-02-03 13:06:13,0.0,1,0.0,1
2026-02-04 00:02:29,0.0,1,0.0,0
2026-02-04 16:39:42,0.0,1,0.0,0
2026-02-05 01:24:00,-0.9902780652046204,1,-1.0,1
2026-02-05 02:00:00,0.0,1,0.0,0
2026-02-05 02:30:58,0.0,1,0.0,0
2026-02-05 08:39:29,0.0,1,0.0,0
2026-02-05 09:23:47,0.9971912503242493,1,1.0,1
2026-02-06 02:30:19,0.9999992847442627,1,1.0,1
2026-02-06 11:01:05,0.9977491497993469,1,1.0,1
2026-02-06 13:46:37,-0.9207331538200378,1,-1.0,1
2026-02-07 06:30:00,0.0,1,0.0,0
2026-02-07 08:04:05,0.0,1,0.0,1
2026-02-07 08:24:08,1.0,1,1.0,1
2026-02-07 08:25:00,0.0,1,0.0,1
2026-02-07 08:36:09,0.9999998807907104,1,1.0,1
2026-02-07 08:52:37,1.0,1,1.0,1
2026-02-07 09:56:00,0.999984860420227,1,1.0,1
2026-02-07 09:59:00,0.0,1,0.0,1
2026-02-07 10:13:10,0.0,1,0.0,1
2026-02-07 10:22:31,0.0,1,0.0,0
2026-02-07 10:29:19,0.0,1,0.0,1
2026-02-07 11:03:00,0.9999996423721313,1,1.0,1
2026-02-07 11:05:18,0.0,1,0.0,1
2026-02-07 11:18:27,1.0,1,1.0,1
2026-02-07 11:18:28,1.0,1,1.0,1
2026-02-07 14:20:36,0.0,1,0.0,1
2026-02-07 16:04:26,1.0,1,1.0,1
2026-02-08 05:03:00,0.0,1,0.0,1
2026-02-08 07:05:29,0.0,1,0.0,1
2026-02-08 14:50:53,0.0,1,0.0,1
