date,sentiment_score,news_volume,sentiment_polarity,earnings_event
2026-01-08 08:00:00,0.0,2,0.0,0
2026-01-09 08:00:00,0.1428488152367728,7,0.14285714285714285,0
2026-01-10 08:00:00,0.0,2,0.0,0
2026-01-11 08:00:00,0.0,2,0.0,0
2026-01-12 08:00:00,0.19999608993530274,5,0.2,0
2026-01-12 18:03:22,0.0,1,0.0,0
2026-01-13 08:00:00,0.0,3,0.0,0
2026-01-14 08:00:00,0.24215827882289886,4,0.25,0
2026-01-14 10:17:22,0.0,1,0.0,0
2026-01-15 08:00:00,0.0,2,0.0,0
2026-01-16 08:00:00,0.0,2,0.0,0
2026-01-17 08:00:00,0.0,4,0.0,0
2026-01-18 08:00:00,0.0,1,0.0,0
2026-01-19 08:00:00,0.19995907545089722,5,0.2,1
2026-01-20 06:22:56,0.0,1,0.0,0
2026-01-20 08:00:00,0.140069808278765,7,0.14285714285714285,1
2026-01-21 08:00:00,0.0,3,0.0,1
2026-01-22 08:00:00,0.24999985098838806,4,0.25,0
2026-01-22 08:37:58,0.0,1,0.0,0
2026-01-22 13:32:14,0.0,1,0.0,0
2026-01-23 08:00:00,0.0,3,0.0,1
2026-01-24 08:00:00,0.0,1,0.0,0
2026-01-25 08:00:00,0.0,1,0.0,0
2026-01-26 06:44:00,0.0,1,0.0,0
2026-01-27 08:00:00,0.0,7,0.0,0
2026-01-28 04:47:47,0.0,1,0.0,0
2026-01-28 07:48:53,0.0,1,0.0,0
2026-01-28 08:00:00,0.0,4,0.0,0
2026-01-28 11:20:26,0.0,1,0.0,0
2026-01-29 03:33:29,0.0,1,0.0,0
2026-01-29 04:48:10,0.0,1,0.0,0
2026-01-29 06:23:49,0.0,1,0.0,0
2026-01-29 07:40:54,0.0,1,0.0,0
2026-01-29 08:00:00,0.0,5,0.0,0
2026-01-29 08:05:23,0.9999990463256836,1,1.0,0
2026-01-29 08:15:00,0.0,1,0.0,0
2026-01-30 03:57:47,0.0,1,0.0,0
2026-01-30 07:08:00,0.0,1,0.0,0
2026-01-30 07:21:19,0.0,1,0.0,0
2026-01-30 11:17:16,0.0,1,0.0,0
2026-01-31 02:35:37,0.9983879327774048,1,1.0,0
2026-01-31 04:51:00,0.0,1,0.0,0
2026-01-31 05:41:54,0.0,1,0.0,0
2026-01-31 07:03:00,0.0,1,0.0,1
2026-01-31 07:10:08,0.0,1,0.0,1
2026-01-31 08:56:08,0.0,1,0.0,0
2026-01-31 10:00:03,0.9156983494758606,1,1.0,0
2026-01-31 10:43:00,0.0,1,0.0,0
2026-01-31 12:59:17,0.0,1,0.0,0
2026-01-31 14:14:00,0.0,1,0.0,0
2026-01-31 19:04:00,0.0,1,0.0,0
2026-01-31 19:53:29,0.0,1,0.0,0
2026-02-01 06:43:07,0.0,1,0.0,0
2026-02-01 07:09:43,0.0,1,0.0,0
2026-02-01 23:04:03,0.0,1,0.0,0
2026-02-02 00:20:00,0.0,1,0.0,0
2026-02-02 05:02:00,0.0,1,0.0,1
2026-02-02 13:11:05,0.0,1,0.0,0
2026-02-03 04:48:43,0.0,1,0.0,0
2026-02-03 04:59:39,0.9999228715896606,1,1.0,0
2026-02-03 05:54:15,0.0,1,0.0,0
2026-02-03 06:27:51,0.0,1,0.0,0
2026-02-03 08:00:00,0.0,1,0.0,0
2026-02-03 09:09:57,0.0,1,0.0,0
2026-02-03 13:06:13,0.0,1,0.0,1
2026-02-04 00:02:29,0.0,1,0.0,0
2026-02-04 16:39:42,0.0,1,0.0,0
2026-02-05 01:24:00,-0.9902780652046204,1,-1.0,1
2026-02-05 02:00:00,0.0,1,0.0,0
2026-02-05 02:30:58,0.0,1,0.0,0
2026-02-05 09:23:47,0.9971912503242493,1,1.0,1
2026-02-05 09:32:53,0.0,1,0.0,1
2026-02-05 11:42:31,0.0,1,0.0,0
2026-02-05 17:18:09,0.0,1,0.0,0
2026-02-06 01:08:42,0.0,1,0.0,0
2026-02-06 02:30:19,0.9999992847442627,1,1.0,1
