date,sentiment_score,news_volume,sentiment_polarity,earnings_event
2026-01-09 08:00:00,0.0,3,0.0,0
2026-01-11 08:00:00,0.0,1,0.0,1
2026-01-12 08:00:00,0.25,4,0.25,1
2026-01-12 16:09:35,0.0,1,0.0,1
2026-01-13 08:00:00,0.0,1,0.0,0
2026-01-14 08:00:00,0.0,2,0.0,0
2026-01-15 08:00:00,0.0,1,0.0,1
2026-01-15 08:46:03,0.0,1,0.0,1
2026-01-16 08:00:00,0.49845876097679137,10,0.5,1
2026-01-17 04:22:54,0.0,1,0.0,1
2026-01-17 08:00:00,-0.12117639274308176,33,-0.12121212121212122,1
2026-01-17 10:07:35,-0.9924617409706116,1,-1.0,1
2026-01-18 04:42:59,-0.9998915195465088,1,-1.0,1
2026-01-18 08:00:00,-0.3749396353960037,8,-0.375,1
2026-01-18 09:00:53,0.0,1,0.0,1
2026-01-19 03:21:00,0.9723355174064636,1,1.0,1
2026-01-19 03:29:12,0.8031529188156128,1,1.0,0
2026-01-19 04:35:00,-0.9964064955711365,1,-1.0,1
2026-01-19 05:03:00,-0.9997946619987488,1,-1.0,1
2026-01-19 07:45:39,0.0,1,0.0,1
2026-01-19 08:00:00,-0.022127777338027954,26,-0.038461538461538464,1
2026-01-20 08:00:00,0.11205947399139404,4,0.0,1
2026-01-21 05:31:26,-0.9999089241027832,1,-1.0,0
2026-01-21 08:00:00,0.0,3,0.0,0
2026-01-22 08:00:00,0.0,1,0.0,0
2026-01-25 08:00:00,0.0,1,0.0,1
2026-01-27 08:00:00,0.0,1,0.0,0
2026-01-28 05:17:46,0.0,1,0.0,0
2026-01-28 08:00:00,0.0,1,0.0,0
2026-01-29 05:04:02,0.0,1,0.0,0
2026-01-29 13:08:51,0.0,1,0.0,0
2026-01-30 03:20:51,0.0,1,0.0,0
2026-01-30 04:16:08,0.0,1,0.0,0
2026-01-30 05:22:00,0.0,1,0.0,0
2026-01-30 05:27:26,0.0,1,0.0,0
2026-01-30 06:23:01,0.0,1,0.0,0
2026-01-30 07:20:00,0.0,1,0.0,0
2026-01-30 10:06:07,0.0,1,0.0,0
2026-01-31 07:14:39,0.0,1,0.0,0
2026-01-31 09:43:07,0.0,1,0.0,0
2026-01-31 10:43:00,0.0,1,0.0,0
2026-02-01 08:00:00,0.0,1,0.0,0
2026-02-02 06:28:47,0.0,1,0.0,0
2026-02-03 06:33:00,0.0,1,0.0,0
2026-02-04 10:19:31,0.0,1,0.0,0
2026-02-05 11:27:26,0.0,1,0.0,0
2026-02-05 12:05:51,0.8633297085762024,1,1.0,0
