date,sentiment_score,news_volume,sentiment_polarity,earnings_event
2026-01-11 08:00:00,0.0,1,0.0,0
2026-01-12 08:00:00,0.0,2,0.0,0
2026-01-13 08:00:00,0.0,4,0.0,0
2026-01-13 15:54:35,0.0,1,0.0,0
2026-01-14 08:00:00,0.0,1,0.0,0
2026-01-16 08:00:00,0.0,2,0.0,0
2026-01-17 08:00:00,0.0,1,0.0,0
2026-01-18 08:00:00,0.0,4,0.0,1
2026-01-19 08:00:00,0.0,3,0.0,1
2026-01-20 08:00:00,0.0,4,0.0,0
2026-01-20 22:36:09,-0.7847784757614136,1,-1.0,0
2026-01-21 08:00:00,0.0,3,0.0,0
2026-01-22 08:00:00,0.0,1,0.0,0
2026-01-23 08:00:00,0.0,3,0.0,0
2026-01-26 08:00:00,0.0,2,0.0,0
2026-01-27 08:00:00,0.0,3,0.0,0
2026-01-29 08:00:00,0.0,2,0.0,1
2026-01-30 08:00:00,0.3564749598503113,5,0.4,1
2026-01-30 08:20:34,0.0,1,0.0,0
2026-01-30 10:01:06,0.0,1,0.0,0
2026-01-30 11:20:32,0.0,1,0.0,1
2026-01-30 11:37:13,1.0,1,1.0,1
2026-01-30 11:44:00,0.0,1,0.0,0
2026-01-30 11:44:57,0.0,1,0.0,1
2026-01-30 12:07:17,0.7767379879951477,1,1.0,1
2026-01-30 12:24:58,0.0,1,0.0,0
2026-01-30 13:10:12,0.0,1,0.0,1
2026-01-30 13:14:56,0.0,1,0.0,1
2026-01-30 13:20:58,0.0,1,0.0,0
2026-01-30 13:57:05,0.0,1,0.0,0
2026-01-30 14:02:00,0.9984337687492371,1,1.0,1
2026-01-30 14:58:04,0.0,1,0.0,0
2026-01-30 15:18:45,0.9999986886978149,1,1.0,1
2026-01-30 15:59:49,0.0,1,0.0,1
2026-01-30 16:05:33,0.0,1,0.0,1
2026-01-31 08:00:00,0.0,1,0.0,1
2026-02-01 06:39:27,0.0,1,0.0,0
2026-02-02 03:15:37,0.0,1,0.0,0
2026-02-02 05:31:02,-0.9663205146789551,1,-1.0,1
2026-02-02 05:43:45,0.0,1,0.0,0
2026-02-02 06:18:00,0.0,1,0.0,0
2026-02-02 09:40:08,0.0,2,0.0,0
2026-02-02 09:53:58,0.0,1,0.0,0
2026-02-02 10:22:38,0.0,1,0.0,1
2026-02-03 03:04:54,0.0,1,0.0,0
2026-02-03 11:29:00,0.0,1,0.0,0
2026-02-03 23:57:01,0.0,1,0.0,0
2026-02-04 06:58:36,0.0,1,0.0,0
2026-02-04 08:13:05,0.0,1,0.0,0
2026-02-04 09:34:17,0.999980092048645,1,1.0,1
2026-02-04 09:50:00,0.0,1,0.0,0
2026-02-04 11:10:41,0.0,1,0.0,0
2026-02-04 12:10:50,0.0,1,0.0,1
2026-02-05 06:10:00,0.0,1,0.0,0
2026-02-05 08:00:00,0.0,1,0.0,0
2026-02-05 08:56:47,0.0,1,0.0,0
2026-02-05 10:40:33,0.0,1,0.0,0
2026-02-05 11:29:39,0.0,1,0.0,0
2026-02-05 13:45:46,0.0,1,0.0,0
2026-02-06 01:39:00,0.0,1,0.0,0
2026-02-06 04:45:54,0.0,1,0.0,0
2026-02-06 07:05:34,0.0,1,0.0,0
2026-02-06 07:22:00,0.0,1,0.0,0
2026-02-06 10:49:31,0.0,1,0.0,0
2026-02-06 11:32:00,0.0,1,0.0,0
2026-02-06 12:23:17,0.0,1,0.0,0
2026-02-06 12:45:03,0.0,1,0.0,0
2026-02-07 11:52:52,0.0,1,0.0,0
2026-02-08 11:48:47,0.0,1,0.0,1
2026-02-09 04:23:19,0.0,1,0.0,0
2026-02-09 10:42:47,0.0,1,0.0,0
2026-02-09 11:29:56,0.0,1,0.0,0
2026-02-09 11:31:38,0.0,1,0.0,0
2026-02-09 11:33:08,0.0,1,0.0,0
2026-02-09 11:53:21,0.0,1,0.0,0
2026-02-09 12:23:00,0.0,1,0.0,0
